,Animal Name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Superorder,Suborder,Infraorder,Family,Superfamily,Subfamily,Genus,Subgenus,Tribe,Clade
1044,Grey Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Ardea,,,
1045,Gang-Gang Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Callocephalon,,,
1046,White-Backed Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Aegypiinae,Gyps,,,
1047,Mountain Bluebird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Turdidae,,,Sialia,,,
1048,Black Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1049,Red-Tailed Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1050,Common Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Alcedininae,Alcedo,,,
1051,Golden Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Buteoninae,Aquila,,,
1052,Major Mitchell's Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Lophochroa,,,
1053,American Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicopterus,,,
1054,Grey Crowned Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Balearica,,,
1055,Andean Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicoparrus,,,
1056,Red-Crowned Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Grus,,,
1057,Azure Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Alcedininae,Ceyx,,,
1058,Common Buzzard,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1059,Wilson's Bird-of-Paradise,Animalia,Chordata,,Aves,,,Passeriformes,,,,Paradisaeidae,,,Diphyllodes,,,
1060,Wandering Albatross,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Diomedeidae,,,Diomedea,,,
1061,Belted Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Cerylinae,Megaceryle,,,
1062,Galah,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Eolophus,,,
1063,Sarus Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Antigone,,,
1064,Spix's Macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Cyanopsitta,,,
1065,House Crow,Animalia,Chordata,,Aves,,,Passeriformes,,,,Corvidae,,,Corvus,,,
1066,Griffon Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Aegypiinae,Gyps,,,
1067,Egyptian Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Alopochen,,,
1068,Siberian Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Leucogeranus,,,
1069,Common Blackbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Turdidae,,,Turdus,,,
1070,Blue Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Grus,,,
1071,Great Auk,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Alcidae,,,Pinguinus,,,
1072,Scarlet macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Ara,,,
1073,Spotted Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Spilopelia,,,
1074,Emperor Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Aptenodytes,,,
1075,Bald Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Haliaeetus,,,
1076,White Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Cacatua,,,
1077,Yellow-Crested Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Cacatua,,,
1078,Eastern Bluebird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Turdidae,,,Sialia,,,
1079,Little Blue Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptula,,,
1080,Pied Crow,Animalia,Chordata,,Aves,,,Passeriformes,,,,Corvidae,,,Corvus,,,
1081,Red-Crested Cardinal,Animalia,Chordata,,Aves,,,Passeriformes,,,,Thraupidae,,,Paroaria,,,
1082,Hyacinth Macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Anodorhynchus,,,
1083,Blue-and-Gold Macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Ara,,,
1084,Cockatiel,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,Nymphicinae,Nymphicus,,,
1085,Grey Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Ardea,,,
1086,Gang-Gang Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Callocephalon,,,
1087,White-Backed Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Aegypiinae,Gyps,,,
1088,Mountain Bluebird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Turdidae,,,Sialia,,,
1089,Black Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1090,Red-Tailed Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1091,Common Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Alcedininae,Alcedo,,,
1092,Golden Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Buteoninae,Aquila,,,
1093,Major Mitchell's Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Lophochroa,,,
1094,American Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicopterus,,,
1095,Grey Crowned Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Balearica,,,
1096,Andean Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicoparrus,,,
1097,Red-Crowned Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Grus,,,
1098,Azure Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Alcedininae,Ceyx,,,
1099,Common Buzzard,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1100,Wilson's Bird-of-Paradise,Animalia,Chordata,,Aves,,,Passeriformes,,,,Paradisaeidae,,,Diphyllodes,,,
1101,Wandering Albatross,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Diomedeidae,,,Diomedea,,,
1102,Belted Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Cerylinae,Megaceryle,,,
1103,Palm Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Probosciger,,,
1104,Mandarin Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Aix,,,
1105,Diamond Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Geopelia,,,
1106,Lappet-Faced Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Torgos,,,
1107,Yellow-Crowned Amazon,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Amazona,,,
1108,Wood Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Aix,,,
1109,Rüppell's Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Aegypiinae,Gyps,,,
1110,Greater Bird-of-Paradise,Animalia,Chordata,,Aves,,,Passeriformes,,,,Paradisaeidae,,,Paradisaea,,,
1111,White Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Gygis,,,
1112,Mute Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1113,Green Bee-Eater,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,,,Meropidae,,,Merops,,,
1114,Rock Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Columba,,,
1115,Himalayan Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Aegypiinae,Gyps,,,
1116,Chilean Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicopterus,,,
1117,King Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Cathartidae,,,Sarcoramphus,,,
1118,Kori Bustard,Animalia,Chordata,,Aves,,,Otidiformes,,,,Otididae,,,Ardeotis,,,
1119,Greater Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicopterus,,,
1120,Sulphur-Crested Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Cacatua,,,
1121,Demoiselle Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Grus,,,
1122,Malachite Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Alcedininae,Corythornis,,,
1123,Great Egret,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Ardea,,,
1124,Lesser Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicoparrus,,,
1125,Red-Tailed Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Calyptorhynchus,,,
1126,Great Blue Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Ardea,,,
1127,Black Crowned Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Balearica,,,
1128,Red-Lored Amazon,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Amazona,,,
1129,Luzon Bleeding-Heart,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Gallicolumba,,,
1130,King Bird-of-Paradise,Animalia,Chordata,,Aves,,,Passeriformes,,,,Paradisaeidae,,,Cicinnurus,,,
1131,Emu,Animalia,Chordata,,Aves,,,Casuariiformes,,,,Casuariidae,,,Dromaius,,,
1132,Egyptian Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Neophron,,,
1133,Arctic Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Sterna,,,
1134,Fairy Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Sternula,,,
1135,Mourning Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Zenaida,,,
1136,Lear's Macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Anodorhynchus,,,
1137,Painted Bunting,Animalia,Chordata,,Aves,,,Passeriformes,,,,Cardinalidae,,,Passerina,,,
1138,Great White Pelican,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Pelecanidae,,,Pelecanus,,,
1139,Yellow-Headed Amazon,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Amazona,,,
1140,Gray Catbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Mimidae,,,Dumetella,,,
1141,Whooper Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1142,American White Pelican,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Pelecanidae,,,Pelecanus,,,
1143,Pied Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Cerylinae,Ceryle,,,
1144,Northern Cardinal,Animalia,Chordata,,Aves,,,Passeriformes,,,,Cardinalidae,,,Cardinalis,,,
1145,Sandhill Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Antigone,,,
1146,Hooded Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Necrosyrtes,,,
1147,Trumpeter Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1148,Military Macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Ara,,,
1149,Cattle Egret,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Bubulcus,,,
1150,California Condor,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Cathartidae,,,Gymnogyps,,,
1151,Black Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Cathartidae,,,Coragyps,,,
1152,Crested Caracara,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Caracara,,Caracarini,
1153,Western Bluebird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Turdidae,,,Sialia,,,
1154,Wattled Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Grus,,,
1155,Green-Winged Macaw,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Ara,,,
1156,Southern Cassowary,Animalia,Chordata,,Aves,,,Casuariiformes,,,,Casuariidae,,,Casuarius,,,
1157,Great Horned Owl,Animalia,Chordata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,,,
1158,Goldcrest,Animalia,Chordata,,Aves,,,Passeriformes,,,,Regulidae,,,Regulus,,,
1159,Giant Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Cerylinae,Megaceryle,,,
1160,White-Naped Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Antigone,,,
1161,African Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Spheniscus,,,
1162,White Stork,Animalia,Chordata,,Aves,,,Ciconiiformes,,,,Ciconiidae,,,Ciconia,,,
1163,Satin Bowerbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Ptilonorhynchidae,,,Ptilonorhynchus,,,
1164,Snow goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,,,
1165,James's Flamingo,Animalia,Chordata,,Aves,,,Phoenicopteriformes,,,,Phoenicopteridae,,,Phoenicoparrus,,,
1166,Rockhopper Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptes,,,
1167,Dalmatian Pelican,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Pelecanidae,,,Pelecanus,,,
1168,Hawaiian Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,,,
1169,Jambu Fruit Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Ptilinopus,,,
1170,Orange-Winged Amazon,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Amazona,,,
1171,Carnaby's Black Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Calyptorhynchus,Zanda,,
1172,White-Winged Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Asarcornis,,,
1173,Cape Barren Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,Anserinae,Cereopsis,,,
1174,Great Bustard,Animalia,Chordata,,Aves,,,Otidiformes,,,,Otididae,,,Otis,,,
1175,Yellow-Breasted Chat,Animalia,Chordata,,Aves,,,Passeriformes,,,,Icteridae,,,Icteria,,,
1176,Anhinga,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Anhingidae,,,Anhinga,,,
1177,Goffin's Cockatoo,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Cacatuidae,,,Cacatua,Licmetis,,
1178,Flightless Cormorant,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Phalacrocoracidae,,,Phalacrocorax,,,
1179,Double-Crested Cormorant,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Phalacrocoracidae,,,Phalacrocorax,,,
1180,Eurasian Collared Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Streptopelia,,,
1181,Black-Necked Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1182,Inca Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Larosterna,,,
1183,Black-Crowned Night Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Nycticorax,,,
1184,Collared Kingfisher,Animalia,Chordata,,Aves,Neornithes,Neognathae,Coraciiformes,Neoaves,Alcedini,,Alcedinidae,,Halcyoninae,Todiramphus,,,
1185,Snow Bunting,Animalia,Chordata,,Aves,,,Passeriformes,,,,Calcariidae,,,Plectrophenax,,,
1186,Green Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Butorides,,,
1187,Yello-Naped Amazon,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Amazona,,,
1188,Lark Bunting,Animalia,Chordata,,Aves,,,Passeriformes,,,,Emberizidae,,,Calamospiza,,,
1189,Tricolored Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Egretta,,,
1190,Canada Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,,,
1191,American Coot,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Rallidae,,,Fulica,,,
1192,Ferruginous Hawk,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Buteo,,,
1193,Tundra Swan,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Cygnus,,,
1194,Black-Capped Chickadee,Animalia,Chordata,,Aves,,,Passeriformes,,,,Paridae,,,Poecile,,,
1195,Little Blue Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Egretta,,,
1196,Blue Duck,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Hymenolaimus,,,
1197,Galápagos Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Spheniscus,,,
1198,Red Crossbill,Animalia,Chordata,,Aves,,,Passeriformes,,,,Fringillidae,,Carduelinae,Loxia,,,
1199,White-Necked Stork,Animalia,Chordata,,Aves,,,Ciconiiformes,,,,Ciconiidae,,,Ciconia,,,
1200,Common Nighthawk,Animalia,Chordata,,Aves,,,Caprimulgiformes,,,,Caprimulgidae,,,Chordeiles,,,
1201,Erect-Crested Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptes,,,
1202,American Bittern,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Botaurus,,,
1203,Yellow-Billed Cuckoo,Animalia,Chordata,,Aves,,,Cuculiformes,,,,Cuculidae,,,Coccyzus,,,
1204,Australian Pelican,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Pelecanidae,,,Pelecanus,,,
1205,Cuban Amazon,Animalia,Chordata,,Aves,,,Psittaciformes,,,,Psittacidae,,,Amazona,,,
1206,Ostrich,Animalia,Chordata,,Aves,,,Struthioniformes,,,,Struthionidae,,,Struthio,,,
1207,Macaroni Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptes,,,
1208,Bobolink,Animalia,Chordata,,Aves,,,Passeriformes,,,,Icteridae,,,Dolichonyx,,,
1209,Turkey Vulture,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Cathartidae,,,Cathartes,,,
1210,Great Cormorant,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Phalacrocoracidae,,,Phalacrocorax,,,
1211,Whooping Crane,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Grus,,,
1212,Black Crake,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Rallidae,,,Amaurornis,,,
1213,Gentoo Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Pygoscelis,,,
1214,Yellow-Eyed Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Megadyptes,,,
1215,Brogla,Animalia,Chordata,,Aves,Neornithes,Neognathae,Gruiformes,Neoaves,,,Gruidae,,,Antigone,,,
1216,Waved Albatross,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Diomedeidae,,,Phoebastria,,,
1217,Magellanic Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Spheniscus,,,
1218,Snares Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptes,,,
1219,Humboldt Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Spheniscus,,,
1220,Least Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Sternula,,,
1221,Green Broadbill,Animalia,Chordata,,Aves,,,Passeriformes,,,,Eurylaimidae,,,Calyptomena,,,
1222,Common Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Sterna,,,
1223,King Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Aptenodytes,,,
1224,Laysan Albatross,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Diomedeidae,,,Phoebastria,,,
1225,Black-Browed Albatross,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Diomedeidae,,,Thalassarche,,,
1226,Royal Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptes,,,
1227,Yellow-Headed Blackbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Icteridae,,,Xanthocephalus,,,
1228,Brown Pelican,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Pelecanidae,,,Pelecanus,,,
1229,Yellow-Crowned Night Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Nyctanassa,,,
1230,White-Faced Heron,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Egretta,,,
1231,Sooty Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Onychoprion,,,
1232,Royal Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Thalasseus,,,
1233,Chinstrap Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Pygoscelis,,,
1234,Adélie Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Pygoscelis,,,
1235,Emperor Goose,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,,,
1236,Inca Dove,Animalia,Chordata,,Aves,,,Columbiformes,,,,Columbidae,,,Columbina,,,
1237,Brown Creeper,Animalia,Chordata,,Aves,,,Passeriformes,,,,Certhiidae,,,Certhia,,,
1238,Roseate Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Sterna,,,
1239,Least Bittern,Animalia,Chordata,,Aves,Neornithes,Neognathae,Pelecaniformes,Neoaves,,,Ardeidae,,,Ixobrychus,,,
1240,Short-Tailed Albatross,Animalia,Chordata,,Aves,,,Procellariiformes,,,,Diomedeidae,,,Phoebastria,,,
1241,Gambel's Quail,Animalia,Chordata,,Aves,,,Galliformes,,,,Odontophoridae,,,Callipepla,,,
1242,Bush Stone-Curlew,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Burhinidae,,,Burhinus,,,
1243,Long-Billed Curlew,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Numenius,,,
1244,Fiordland Penguin,Animalia,Chordata,,Aves,,,Sphenisciformes,,,,Spheniscidae,,,Eudyptes,,,
1245,American Avocet,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Recurvirostridae,,,Recurvirostra,,,
1246,Pine Siskin,Animalia,Chordata,,Aves,,,Passeriformes,,,,Fringillidae,,Carduelinae,Spinus,,,
1247,Black Tern,Animalia,Chordata,,Aves,,,Charadriiformes,,,,Laridae,,,Chlidonias,,,
1248,Gunnison Sage-Grouse,Animalia,Chordata,,Aves,,,Galliformes,,,,Phasianidae,,,Centrocercus,,,
1249,Red-Winged Blackbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Icteridae,,,Agelaius,,,
1250,Mallard,Animalia,Chordata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,,,
1251,American Crow,Animalia,Chordata,,Aves,,,Passeriformes,,,,Corvidae,,,Corvus,,,
1252,Crested Bellbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Oreoicidae,,,Oreoica,,,
1253,Brown-Headed Cowbird,Animalia,Chordata,,Aves,,,Passeriformes,,,,Icteridae,,,Molothrus,,,
1254,Northern Bobwhite,Animalia,Chordata,,Aves,,,Galliformes,,,,Odontophoridae,,,Colinus,,,
1255,Pelagic Cormorant,Animalia,Chordata,,Aves,Neornithes,Neognathae,Suliformes,Neoaves,,,Phalacrocoracidae,,,Phalacrocorax,,,
1256,Greater Sage Grouse,Animalia,Chordata,,Aves,,,Galliformes,,,,Phasianidae,,,Centrocercus,,,
1257,Eurasian Eagle-Owl,Animalia,Chordata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,,,
1258,African Fish Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Haliaeetus,,,
1259,Peregrine Falcon,Animalia,Chordata,,Aves,,,Falconiformes,,,,Falconidae,,,Falco,,,
1260,Harpy Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Harpiinae,Harpia,,,
1261,Martial Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Polemaetus,,,
1262,Wedge-Tailed Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,Buteoninae,Aquila,,,
1263,Spotted Eagle-Owl,Animalia,Chordata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,,,
1264,Philippine Eagle,Animalia,Chordata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Pithecophaga,,,
